"Exclusive Camera","Cámara exclusiva"
"New Arrivals","Recién Llegados"
"Hot deals","Las mejores ofertas"
"Most rated","Más votados"
"Whoops, our bad...","Oops, nuestra culpa..."
"The page you requested was not found, and we have a fine guess why.","No se encontró la página que buscaba y tenemos una leve sospecha de por qué."
"If you typed the URL directly, please make sure the spelling is correct.","Si escribió el URL directamente, asegúrese de que lo haya escrito correctamente."
"If you clicked on a link to get here, the link is outdated.","Si hizo clic en un enlace para llegar aquí, el enlace está desactualizado."
"What can you do?","¿Qué se puede hacer?"
"Have no fear, help is near! There are many ways you can get back on track with Magento Store.","¡No tengas miedo, la ayuda esta en camino! Hay muchas maneras de volver a nuestra tienda."
"Go back to the previous page.","Regresar a la pagina anterior."
"Use the search bar at the top of the page to search for your products.","Utilice la barra de búsqueda en la parte superior de la página para buscar sus productos."
"Follow these links to get you back on track!","¡Sigue estos enlaces para regresar a la pista!"
"Store Home","Tienda del hogar"
"My Account","Mi cuenta"
"What are Cookies?","¿Qué son "Cookies"?"
"Cookies are little pieces of data we send when you visit our store. Cookies help us get to know you better and personalize your experience.",""Cookies" son pequeñas piezas de datos que enviamos cuando visitas nuestra tienda. "Cookies" nos ayudan a conocerlo mejor y personalizar su experiencia."
"Plus they help protect you and other shoppers from fraud.","Además, ayudan a protegerte a tí y a todos nuestros visitantes contra el fraude."
"Set your browser to accept cookies so you can buy items, save items, and receive customized recommendations. Here’s how:","Configure su navegador para aceptar "cookies" y poder comprar artículos, guardarlos y recibir recomendaciones personalizadas. Así es cómo:"
"Google Chrome","Google Chrome"
"Internet Explorer","Internet Explorer"
"Safari","Safari"
"Mozilla/Firefox","Mozilla/Firefox"
"We're Offline but only for just a bit. We're working to make the Magento Enterprise Demo a better place for you!","Estamos desconectados, pero sólo por un momento. ¡Estamos trabajando para mejorar nuestra tienda en línea y poder brindarte una mejor experiencia!"
"Welcome to our Exclusive Online Store If you are a registered member, please sign in here","Bienvenido a nuestra tienda en línea, si ya estas registrado, por favor ingresa aquí"
"Be the first to review this product","Sé el primero en comentar sobre este producto"
"Or as low as","Tan solo"
"month","mes"
"FREE Shipping","Envío gratis"
"get within","Entrega entre"
"days"," días"
"Qty","Cantidad"
"Price: ","Precio"
"Details","Detalles"
"More inormation","Más información"
"Reviews","Comentarios"
"Hello","Hola"
"Hello,"Hola,"
"Sign in","Iniciar sesión"
"Curacao credit","Crédito de Curacao"
"Pay Bill","Pagar mi Cuenta"
"Digital Catalog","Catálogo Digital"
"Our Stores","Nuestras Tiendas"
"Today’s Deal","Oferta del Día"
"Sale","Venta"
"Your Account","Mi Cuenta"
"Customer Service","Servicio al Cliente"
"Our stores","Nuestras Tiendas"
"Company information","Información de la Empresa"
"About Curacao","Acerca de Curacao"
"Customers Speak","Los Clientes Hablan"
"In the News","Noticias"
"FAQs","PreguntasFrecuentes"
"Netmeds Rewards Points","Puntos de Recompensa"
"Terms and Conditions","Términos y Condiciones"
"Privacy Policy","Privacy Policy"
"Contact Us","Contáctenos"
"Shop @ Curacao","Comprar @ Curacao"
"Shop by Condition/Category","Comprar por Condición /Categoría"
"Shop by Manufacturer","Comprar por Fabricante"
"Shop Over-the-Counter items","Comprar Artículos de Venta Libre"
"In-Store Pickup FAQs","Preguntas Frecuentes acerca de recoger en tienda"
"Upload Prescription","Subir prescripción"
"Offers","Ofertas"
"Refunds","Reembolsos"
"Your Curacao Account","Tu cuenta de Curacao"
"Register/Account Login","Registrarse / Iniciar Sesión"
"Track Your Order","Rastreartu orden"
"Return Policy","Política de Devoluciones"
"Shipping Information","Información de Envío"
"Manage Your e-Wallet","Administra cartera electrónica"
"Review & Rate Items","Revisar y Calificar Artículos"
"Curacao Payment Products","Formas de pago de Curacao"
"Curacao Store Card","Tarjeta de Curacao"
"Curacao Rewards Visa Signature Cards","Curacao Rewards Visa Signature Cards"
"Shop with Points","Tienda con Puntos"
"Curacao Corporate Credit Line","Línea de crédito de Curacao"
"Credit Card Marketplace","Mercado de tarjetas de crédito"
"Reload Your Balance","Recargar Saldo"
"Curacao Currency Converter","Convertidor de Moneda de Curacao"
"Subscribe and get our exclusive deals","Suscríbete y recibe nuestras ofertas exclusivas."
"100% SECURE PAYMENTS","PAGOS 100% SEGUROS"
"All major credit & debit cards accepted","Se aceptan todas las principales tarjetas de crédito y débito."
"TRUST PAY","PAGO CONFIABLE"
"100% Payment Protection,Easy Return Policy","Protección del 100% de Pago, Política de Devolución Fácil"
"WHY SHOP WITH US","POR QUE COMPRAR CON NOSOTROS"
"Policies","Políticas"
"Terms of use","Términos de Uso"
"Security","Seguridad"
"Privacy","Privacidad"
"Shopping Bag","Bolsa de la compra"
"How do you want to get your order?","¿Cómo quieres conseguir tu pedido?"
"Ship to home","Enviar a casa"
"Delivery Method","Método de entrega"
"Search Products and Brands","Buscar productos y marcas"
"Guarantee","Garantía"
"WE'LL BEAT ANY COMPETITOR'S PRICE","COMPRENDEMOS EL PRECIO DE CUALQUIER COMPETIDOR"
"Today's deals","Especiales de hoy"
"Fashion & Beauty","Belleza de la moda"
"Best Sellers","Los más vendidos"
"Electronics","Electrónica"
"Store Locator","Localizador de tiendas"
"About Us","Acerca de Nosotros"
"Our Mission","Nuestra misión"
"Subscribe","Suscríbete"
"100% Payment Protection, Easy Returns Policy","Protección de pago 100%, política de devoluciones fácil"
"All Rights Reserved","Todos los derechos reservados"
"More Information","Más información"
"Submit Review","Enviar opinión"
"Add Items to Cart","Añadir artículos al carrito"
"You may also like","También te puede interesar"
"Your Rating","Tu clasificación"
"Value","Valor"
"Quality","Calidad"
"Nickname","Apodo"
"Summary","Resumen"
"Proceed to Checkout","Pasar por la caja"
"Item","ít"
"Subtotal","Total parcial"
"Continue Shopping","Seguir comprando"
"Safe and Secure Payments","Pagos seguros y seguros"
"100% Payment Protection, Easy Returns Policy","Protección de pago 100%, política de devoluciones fácil"
"FREE & EASY","GRATIS Y FÁCIL"
"RETURNS","DEVOLUCIONES"
"1 item","1 articulo"
"Frequently bought together","Frecuentemente compramos juntos"
"Add-ons","Complementos"
"Apply Now","Aplica ya"
"Add a Protection Plan","Añadir un plan de protección"
"Store Locations","Ubicaciones de tiendas"
"Search by Address","Búsqueda por dirección"
"Search by Distance","Buscar por distancia"
"Current Location","Ubicación actual"
"Search Radius","Radio de búsqueda"
"Search Radius Measurement","Medición del radio de búsqueda"
"Search","Buscar"
"Country","País"
"Region / State","Región / Estado"
"City","Ciudad"
"Zipcode","Código postal"
"Subject","Tema"
"Message","Mensaje"
"Enter your name","Introduzca su nombre"
"Enter your email","Introduce tu correo electrónico"
"Type your subject","Escriba su tema"
"Type your message","Escribe tu mensaje"
"Continue","Continuar"
"Enter your email address","Ingrese su dirección de correo electrónico"
"Request RMA","Solicitar RMA"
"Order Information","información del pedido"
"Next","Siguiente"
"Order ID","Solicitar ID"
"Email Address","Dirección de correo electrónico"
"First Name","Nombre de pila"
"Last Name","Apellido"
"Login to Curacao","Inicia sesión en Curacao"
"Forgot Password?","¿Se te olvidó tu contraseña?"
"New in Curacao?","Nuevo en Curacao?"
"Login","Iniciar sesión"
"Enter your Email ID","Ingrese su ID de correo electrónico"
"Password","Contraseña"
"Get instant  Curacao Credit approval","Obtenga la aprobación instantánea del crédito de Curazao"
"Signup with Curacao","Registrarse en Curacao"
"Create","Crear"
"Do you have a Curacao Account?","¿Tienes una cuenta en Curacao?"
"Sign Up for Newsletter","Registrarse para boletín"
"Already have an account?","¿Ya tienes una cuenta?"
"Mobile Number","Número de teléfono móvil"
"Confirm Password","Confirmar contraseña"
"Account Dashboard","Panel de cuenta"
"My Orders","Mis ordenes"
"Address Book","Directorio"
"Account Information","Información de la cuenta"
"Payment Methods","Métodos de pago"
"My Product Reviews","Mis Opiniones del producto"
"Notifications","Notificaciones"
"My Dashboard","Mi tablero"
"Contact Information","Información del contacto"
"Newsletters","Boletines de noticias"
"Edit","Editar"
"Change Password","Cambia la contraseña"
"Edit Address","Editar dirección"
"MANAGE ADDRESSES","GESTIONAR DIRECCIONES"
"Default Shipping Address","Dirección de entrega por defecto"
"Default Billing Address","direccion de FACTURACION por defecto"
"Go Back","Regresa"
"Default Addresses","Direcciones predeterminadas"
"Additional Address Entries","Entradas de dirección adicionales"
"Change Billing Address","Cambiar dirección de facturación"
"Change Shipping Address","Cambiar la dirección de envío"
"Add New Address","Agregar nueva dirección"
"Delete Address","Eliminar direccion"
"Edit Account Information","Editar información de la cuenta"
"Change Email","Cambiar e-mail"
"Curacao Account Number","Número de cuenta de Curacao"
"Save","Salvar"
"Current Password","contraseña actual"
"New Password","Nueva contraseña"
"Confirm New Password","Confirmar nueva contraseña"
"Stored Payment Methods","Métodos de pago almacenados"
"Curacao Credit","Credito de curazao"
"Other Payments","Otros pagos"
"My Product Reviews","Mis Opiniones del producto"
"Newsletter Subscription","Boletín de suscripción"
